coverage_note,event_id,occurrence_date,year,disaster_category,disaster_type,event_name,location_district,location_taluk,severity_intensity,deaths,injuries,missing,evacuated_displaced,economic_damage_inr,economic_damage_basis,infrastructure_affected,response_agencies,source_type,source_information,source_url,data_status,recovery_outcome,limitations
2019-2024 inclusive (six calendar years; user-specified period),TN2021-04,2021-11-01/2021-11-15,2021,Natural,Flood/heavy rain,North-East Monsoon floods and urban flooding,"Chengalpattu, Chennai, Kancheepuram, Tiruvallur, Cuddalore, Nagapattinam, Thanjavur, Tiruvarur, Ranipet, Tiruvannamalai, Villupuram and others",Multiple; district/taluk-level details vary by daily situation report,Severe monsoon flooding,14 reported by 12 Nov; annual government hydro-meteorological series later reports 128 for FY 2021-22,Not consolidated,Not consolidated,9312 accommodated in 162 relief centres in the 12 Nov report,62304500000,"₹6,230.45 crore total sought in Tamil Nadu memoranda for the 2021 North-East Monsoon event; not a final audited loss","1146 huts and 237 houses completely damaged in one 12-Nov snapshot; broader government series reports 48,510 houses/huts damaged for FY 2021-22 floods",NDRF; SDRF/TNDRF; Police; Fire and Rescue; district administrations; PWD/Highways; Electricity; local bodies,Government of India + media,MHA/NDRF records; Indian Express,https://sansad.in/getFile/loksabhaquestions/annex/184/AU288_lZFPXC.pdf?source=pqals,"Government casualty/damage series confirmed; ₹6,230.45 crore is state memorandum estimate",NDRF approved ₹352.85 crore; restoration programs followed,The 128-death annual figure covers the FY 2021-22 hydro-meteorological disaster series and should not be treated as the exact toll for the November snapshot.
2019-2024 inclusive (six calendar years; user-specified period),TN2022-01,2022-01-01,2022,Man-made/Industrial,Firecracker factory explosion,Kalathur/Nathampatti fireworks blast,Virudhunagar,Sivakasi area; exact taluk wording varies in media reports,Major fireworks accident,4,7-8,0 after rescue,Workers/residents nearby; exact number not reported,,No event-level estimate located,About three rooms collapsed; unit heavily damaged,Fire and Rescue Services; Police; district administration; hospitals,Media report,New Indian Express; Times of India,https://www.newindianexpress.com/states/tamil-nadu/2022/Jan/01/four-workers-die-in-explosion-at-firecracker-unit-in-tamil-nadu-seven-injured-2401983.html,Deaths confirmed; injury count differs slightly between reports,"Rescue, medical treatment and police investigation",Taluk-level administrative naming is inconsistent across reports.
2019-2024 inclusive (six calendar years; user-specified period),TN2022-02,2022-06-23,2022,Man-made/Industrial,Firecracker factory explosion/fire,M Puthur fireworks unit blast,Cuddalore,Cuddalore area; M Puthur/Kapparmalai area,Major fireworks accident,3,2-3,0,Not reported,,No event-level estimate located,Factory unit destroyed/flattened,Tamil Nadu Fire and Rescue Services; Police; Cuddalore district administration; hospitals,Media report,India Today; Indian Express,https://indianexpress.com/article/cities/chennai/tamil-nadu-firecracker-unit-blast-death-toll-relief-7987069/,Deaths confirmed; injury count varies,Compensation and medical treatment ordered,No official event-level damage valuation located.
2019-2024 inclusive (six calendar years; user-specified period),TN2023-01,2023-07-29,2023,Man-made/Industrial,Firecracker factory explosion,Krishnagiri fireworks factory blast,Krishnagiri,Krishnagiri/Hosur-area locality; exact taluk not consistently stated in cited report,Major fireworks explosion,8,Several; exact final number not consistently reported,0 after rescue,Nearby residents temporarily affected; exact number not reported,,No event-level estimate located,At least four buildings damaged; nearby hotel building collapsed,Fire and Rescue Services; Police; district administration; hospitals,Media report,India Today,https://www.indiatoday.in/india/story/8-killed-as-buildings-collapse-due-to-explosion-at-tamil-nadu-cracker-factory-2413425-2023-07-29,Deaths/infrastructure damage confirmed by cited report,Rescue and investigation; compensation/relief reported,Final injury count and economic damage not consistently published.
2019-2024 inclusive (six calendar years; user-specified period),TN2023-02,2023-10,2023,Man-made/Industrial,Firecracker factory fires,Virudhunagar fireworks-unit fires,Virudhunagar,Rangapalayam and Kichanayakanpatti areas,Major fireworks accidents; two separate events,11 combined in two reported incidents,Not consolidated,Not consolidated,Not reported,,No event-level combined estimate located,Fireworks units damaged; exact asset counts not consolidated,Fire and Rescue Services; Police; district administration; hospitals,Media report,India Today report summarizing the two 2023 incidents,https://www.indiatoday.in/amp/india/tamil-nadu/story/blast-at-firecracker-factory-in-tamil-nadu-virudhunagar-dead-injured-2537165-2024-05-09,Combined deaths reported by media; detailed event-level figures incomplete,Investigations and relief measures,Two separate incidents are aggregated because the cited source does not provide a complete structured record for each.
2019-2024 inclusive (six calendar years; user-specified period),TN2023-03,2023-12-03/2023-12-05,2023,Natural,Cyclone and urban flood,Cyclone Michaung,"Chennai, Tiruvallur, Chengalpattu, Kancheepuram",Multiple urban and peri-urban taluks; consolidated taluk list not reported,Cyclonic Storm with extreme rainfall and urban flooding,17 in Tamil Nadu in MHA annual disaster series; some contemporaneous assessments reported 20,11 in Sphere India secondary assessment,Not consolidated,"41,459 people in 411 relief camps in secondary assessment",20700400000,"₹2,070.04 crore state memorandum estimate for temporary restoration; MHA records ₹285.54 crore approved and ₹276.10 crore released from NDRF","2189 houses/huts in MHA annual series; severe urban flooding, roads, power and drainage disruption",NDRF; SDRF/TNDRF; Army/Navy support; Chennai Corporation; Police; Fire and Rescue; PWD/Highways; Electricity,Verified MHA + secondary assessment,MHA parliamentary data; Sphere India assessment; TN Government records,https://sansad.in/getFile/loksabhaquestions/annex/184/AU288_lZFPXC.pdf?source=pqals,Government annual-series figures used for deaths/houses; secondary source used for camp/injury detail,Central assistance released; restoration of urban infrastructure and drainage continued,"Casualty counts differ between snapshots; monetary value is a state restoration request, not final economic loss."
2019-2024 inclusive (six calendar years; user-specified period),TN2023-04,2023-12-17/2023-12-20,2023,Natural,Extreme rainfall and flood,Southern Tamil Nadu floods,"Tirunelveli, Thoothukudi, Tenkasi, Kanniyakumari; also Ramanathapuram and Virudhunagar in state declaration",Multiple; district/taluk details vary by flood extent,Extreme rainfall and severe flooding,61 in MHA annual disaster series,Not consolidated,Not consolidated,Not consolidated in cited MHA series,182145200000,"₹18,214.52 crore sought for temporary + permanent restoration in state memorandum","18,088 houses/huts; 18,213 cattle; 248,303.5 ha cropped area in MHA annual series; roads, bridges and utilities damaged",NDRF; SDRF/TNDRF; Army/Navy; Police; Fire and Rescue; district administrations; PWD/Highways; Agriculture,Verified Government of India + Tamil Nadu government,MHA annual disaster series; Tamil Nadu central-assistance memorandum summary,https://sansad.in/getFile/loksabhaquestions/annex/184/AU288_lZFPXC.pdf?source=pqals,Confirmed government series; monetary value is state memorandum estimate,"House repair/reconstruction program launched in seven affected districts; additional ₹68.39 crore sanctioned in 2025 for 14,552 houses",MHA annual series combines the flood disaster into a financial-year category; not every local event has a separate taluk record.
2019-2024 inclusive (six calendar years; user-specified period),TN2024-01,2024-02-17,2024,Man-made/Industrial,Firecracker factory explosion,Gundayirappu/Vembakottai fireworks blast,Virudhunagar,Vembakottai,Major fireworks accident,10,6,0 after rescue,Nearby workers/residents; exact number not reported,,No event-level estimate located,4 of 74 rooms completely gutted; 1 partially damaged,Fire and Rescue Services; Police; Virudhunagar district administration; hospitals,Media report citing officials,New Indian Express; Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2024/Feb/17/fatal-blast-claims-10-lives-in-tns-virudhunagar-district-firecracker-factory-explosion,Confirmed deaths/injuries and room damage in cited media,"Rescue, medical treatment and investigation; compensation announced",No standardized economic-loss assessment located.
2019-2024 inclusive (six calendar years; user-specified period),TN2024-02,2024-05-09,2024,Man-made/Industrial,Firecracker factory explosion/fire,Sengamalapatti/Sivakasi fireworks blast,Virudhunagar,Sivakasi,Major fireworks accident,9 in later PTI report; some early reports said 8,10,0,Not reported,,No event-level estimate located,7 rooms completely gutted; nearby working sheds affected,Fire and Rescue Services; Police; district administration; hospitals,Media reports,Indian Express/PTI; Times of India,https://indianexpress.com/article/cities/chennai/toll-firecracker-blast-tamil-nadu-sivakasi-9319048/,Later report gives 9 deaths; early reports differed,Rescue and treatment; administrative investigation,Casualty count changed as injured victims died; dataset records the later reported count and flags early discrepancy.
2019-2024 inclusive (six calendar years; user-specified period),TN2024-03,2024-06-29,2024,Man-made/Industrial,Firecracker factory explosion,Panthuvarpatti fireworks-unit blast,Virudhunagar,Sattur,Major fireworks accident,4,1,0,Not reported,,No event-level estimate located,Factory rooms/buildings damaged; part of factory collapsed,Fire and Rescue Services; Police; district administration; hospitals,PTI-syndicated media report,NDTV/PTI; India Today,https://www.ndtv.com/india-news/4-workers-killed-1-injured-in-firecracker-unit-blast-in-tamil-nadu-cops-5996611,Confirmed casualties/location in police-cited report,Rescue and compensation; investigation,No verified property-loss valuation.
2019-2024 inclusive (six calendar years; user-specified period),TN2024-04,2024-07-09,2024,Man-made/Industrial,Firecracker factory explosion,Kalayarkurichchi/Sivakasi fireworks blast,Virudhunagar,Sivakasi,Major fireworks accident,2,2,0,Not reported,,No event-level estimate located,Factory unit damaged,Fire and Rescue Services; Police; district administration; hospitals,Media report,India Today,https://www.indiatoday.in/india/tamil-nadu/story/tamil-nadu-virudhunagar-firecracker-factory-blast-sivakasi-2564521-2024-07-09,Confirmed casualties in cited report,Medical treatment and compensation,No economic-loss figure located.
2019-2024 inclusive (six calendar years; user-specified period),TN2024-05,2024-08-24,2024,Man-made/Industrial,Firecracker factory explosion,Thiruvalankadu fireworks-unit blast,Mayiladuthurai,Kuthalam,Major fireworks accident,1,3,0,Not reported,,No event-level estimate located,Small-scale unit almost completely gutted,Fire and Rescue Services; Police; Mayiladuthurai district administration; hospitals,Media report citing officials,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2024/Aug/25/one-killed-three-injured-in-firecracker-unit-blast-in-tamil-nadu,Confirmed casualties/location in cited report,Injured transferred for specialist burn care; police investigation,No event-level economic-loss estimate.
2019-2024 inclusive (six calendar years; user-specified period),TN2024-06,2024-10-11,2024,Man-made/Transport,Rail collision and derailment,Kavaraipettai passenger-goods train collision,Tiruvallur,Gummidipoondi/Kavaraipettai area,Major railway accident; derailment and fire,0 reported,19+ reported,0 reported,Passengers evacuated from damaged train,,No event-level infrastructure-loss estimate located,13 passenger coaches derailed; two goods wagons damaged; track/station operations disrupted,Southern Railway; Railway Protection Force; Police; Fire and Rescue; medical teams; district administration,Media/railway context; official station records,Contemporary media reporting; Southern Railway station records,https://sr.indianrailways.gov.in/cris/uploads/files/1748432112041-List%20of%20stations%20as%20on%2001042025.pdf,Casualty figures from contemporary reporting; official event bulletin not located in search set,Railway rescue/clearance and service restoration,No verified final repair-cost figure included; incident cause remained under investigation in contemporary reporting.
2019-2024 inclusive (six calendar years; user-specified period),TN2024-07,2024-11-23/2024-12-02,2024,Natural,Cyclone and extreme rainfall/flood,Cyclone Fengal,"Villupuram, Kallakurichi, Cuddalore, Tiruvannamalai, Chennai, Chengalpattu, Kancheepuram, Tiruvallur, Ranipet, Vellore, Tirupathur, Krishnagiri, Dharmapuri and others","Multiple; severe impacts included Villupuram, Kallakurichi, Tiruvannamalai and Cuddalore areas; consolidated taluk list not reported",Cyclonic Storm; declared calamity of severe nature; >50 cm single-day rainfall in some districts,40 in later Government of India annual series,Not consolidated,Not consolidated,Displaced population and relief shelters reported; exact statewide final count not in cited source,31049300000,"₹3,104.93 crore immediate NDRF assistance projected in Tamil Nadu memorandum; later NDRF approval ₹522.34 crore","10,331 houses/huts; 2,991 cattle; 380,985.97 ha cropped area; roads, culverts, tanks, power conductors/poles/transformers and Panchayat buildings damaged",NDRF (9 teams); SDRF (9 teams); Tamil Nadu government; district administrations; Police; Fire and Rescue; Electricity; Highways/PWD; Agriculture,Verified Tamil Nadu Government + MHA/IMD,Tamil Nadu DIPR/CM memorandum; MHA parliamentary data; IMD cyclone bulletin,https://dipr.tn.gov.in/ords/r/dipr/info-prdept103/press-release1?cs=13DxD5waJrs_bvHSaIg9qN7LcuFwHdKVX---rXK34DZAYShevf1wvdEBMGhJuECXQ751IbaRM6suwBkOl9v371A&p33_file_id=10223&request=APPLICATION_PROCESS%3DGET_FILE,"Government-confirmed damage/casualty series; ₹3,104.93 crore is a state request, not final audited loss",NDRF assistance of ₹522.34 crore approved/released; infrastructure and housing restoration continued,"Early December state snapshot listed 12 deaths, while later government series gives 40 for the broader event; use the later consolidated figure for the statewide event."
